Date,BART Flows
2016-01-01,827
2016-01-04,21566
2016-01-05,22388
2016-01-06,20604
2016-01-07,20293
2016-01-08,19111
2016-01-11,22153
2016-01-12,22046
2016-01-13,22945
2016-01-14,22740
2016-01-15,19898
2016-01-18,7083
2016-01-19,19331
2016-01-20,19103
2016-01-21,22638
2016-01-22,18996
2016-01-25,22205
2016-01-26,23062
2016-01-27,24401
2016-01-28,23038
2016-01-29,20505
2016-02-01,23507
2016-02-02,22578
2016-02-03,22613
2016-02-04,22150
2016-02-05,19275
2016-02-08,21231
2016-02-09,22710
2016-02-10,23531
2016-02-11,22876
2016-02-12,17312
2016-02-15,6280
2016-02-16,22945
2016-02-17,22202
2016-02-18,22696
2016-02-19,20958
2016-02-22,22315
2016-02-23,22539
2016-02-24,21073
2016-02-25,23965
2016-02-26,21061
2016-02-29,18761
2016-03-01,24415
2016-03-02,23503
2016-03-03,22155
2016-03-04,20055
2016-03-07,23406
2016-03-08,23643
2016-03-09,24566
2016-03-10,23105
2016-03-11,20154
2016-03-14,20872
2016-03-15,22311
2016-03-16,22629
2016-03-17,21689
2016-03-18,19195
2016-03-21,21556
2016-03-22,21868
2016-03-23,22255
2016-03-24,20319
2016-03-25,14695
2016-03-28,20788
2016-03-29,20959
2016-03-30,21268
2016-03-31,18522
2016-04-01,17280
2016-04-04,23207
2016-04-05,23962
2016-04-06,22802
2016-04-07,19917
2016-04-08,19112
2016-04-11,21509
2016-04-12,23182
2016-04-13,22267
2016-04-14,22618
2016-04-15,19848
2016-04-18,21696
2016-04-19,23397
2016-04-20,22932
2016-04-21,21933
2016-04-22,17387
2016-04-25,22027
2016-04-26,23567
2016-04-27,21496
2016-04-28,20901
2016-04-29,21040
2016-05-02,23017
2016-05-03,21172
2016-05-04,21663
2016-05-05,22913
2016-05-06,18956
2016-05-09,22180
2016-05-10,22829
2016-05-11,22783
2016-05-12,21457
2016-05-13,19395
2016-05-16,22734
2016-05-17,22355
2016-05-18,21363
2016-05-19,22403
2016-05-20,18799
2016-05-23,22917
2016-05-24,23132
2016-05-25,22970
2016-05-26,19755
2016-05-27,17418
2016-05-30,1688
2016-05-31,23126
2016-06-01,23339
2016-06-02,22612
2016-06-03,19715
2016-06-06,22969
2016-06-07,23935
2016-06-08,22134
2016-06-09,22657
2016-06-10,19678
2016-06-13,23030
2016-06-14,23326
2016-06-15,22518
2016-06-16,22400
2016-06-17,20501
2016-06-20,21059
2016-06-21,23410
2016-06-22,20323
2016-06-23,22792
2016-06-24,18709
