Date,Driving Flows
2015-01-05,4525.0
2015-01-06,4952.0
2015-01-07,5006.0
2015-01-08,5105.0
2015-01-09,5181.0
2015-01-12,4846.0
2015-01-13,4327.0
2015-01-14,4615.0
2015-01-15,3456.0
2015-01-16,4625.0
2015-01-19,4086.0
2015-01-20,4217.0
2015-01-21,4855.0
2015-01-22,3898.0
2015-01-23,5339.0
2015-01-26,4254.0
2015-01-27,4594.0
2015-01-28,4352.0
2015-01-29,4534.0
2015-01-30,5161.0
2015-02-02,4974.0
2015-02-03,4918.0
2015-02-04,3930.0
2015-02-05,3388.0
2015-02-06,4707.0
2015-02-09,4800.0
2015-02-10,4626.0
2015-02-11,4282.0
2015-02-12,4924.0
2015-02-13,5248.0
2015-02-16,4741.0
2015-02-17,4590.0
2015-02-18,4559.0
2015-02-19,4450.0
2015-02-20,5175.0
2015-02-23,4132.0
2015-02-24,4119.0
2015-02-25,4684.0
2015-02-26,4877.0
2015-02-27,5038.0
2015-03-02,4580.0
2015-03-03,4653.0
2015-03-04,4628.0
2015-03-05,4712.0
2015-03-06,5106.0
2015-03-09,4290.0
2015-03-10,4585.0
2015-03-11,4147.0
2015-03-12,4379.0
2015-03-13,5202.0
2015-03-16,4757.0
2015-03-17,4481.0
2015-03-18,4621.0
2015-03-19,4597.0
2015-03-20,4898.0
2015-03-23,4520.0
2015-03-24,4171.0
2015-03-25,4659.0
2015-03-26,4667.0
2015-03-27,5064.0
2015-03-30,4990.0
2015-03-31,5242.0
2015-04-01,3406.0
2015-04-02,4987.0
2015-04-03,5055.0
2015-04-06,4678.0
2015-04-07,4362.0
2015-04-08,4730.0
2015-04-09,4876.0
2015-04-10,4657.0
2015-04-13,4398.0
2015-04-14,4644.0
2015-04-15,4764.0
2015-04-16,4449.0
2015-04-17,5342.0
2015-04-20,3831.0
2015-04-21,4510.0
2015-04-22,4559.0
2015-04-23,5095.0
2015-04-24,4560.0
2015-04-27,4744.0
2015-04-28,4415.0
2015-04-29,4131.0
2015-04-30,3582.0
2015-05-01,5109.0
2015-05-04,4627.0
2015-05-05,4848.0
2015-05-06,4819.0
2015-05-07,3787.0
2015-05-08,5040.0
2015-05-11,5307.0
2015-05-12,4400.0
2015-05-13,4973.0
2015-05-14,5157.0
2015-05-15,5004.0
2015-05-18,4833.0
2015-05-19,3818.0
2015-05-20,4633.0
2015-05-21,4493.0
2015-05-22,5305.0
2015-05-25,2881.0
2015-05-26,3985.0
2015-05-27,4714.0
2015-05-28,4896.0
2015-05-29,5105.0
2015-06-01,4230.0
2015-06-02,4582.0
2015-06-03,4940.0
2015-06-04,4528.0
2015-06-05,5037.0
2015-06-08,4924.0
2015-06-09,4756.0
2015-06-10,3641.0
2015-06-11,5028.0
2015-06-12,5144.0
2015-06-15,4925.0
2015-06-16,5067.0
2015-06-17,4961.0
2015-06-18,5145.0
2015-06-19,5231.0
2015-06-22,5071.0
2015-06-23,5299.0
2015-06-24,4862.0
2015-06-25,4847.0
2015-06-26,5344.0
2015-06-29,4879.0
2015-06-30,4178.0
2015-07-01,3887.0
2015-07-02,5153.0
2015-07-03,3082.0
2015-07-06,4764.0
2015-07-07,4992.0
2015-07-08,4340.0
2015-07-09,4567.0
2015-07-10,4325.0
2015-07-13,4720.0
2015-07-14,4642.0
2015-07-15,5150.0
2015-07-16,4596.0
2015-07-17,4895.0
2015-07-20,4512.0
2015-07-21,4694.0
2015-07-22,4381.0
2015-07-23,5077.0
2015-07-24,4440.0
2015-07-27,5032.0
2015-07-28,5410.0
2015-07-29,5072.0
2015-07-30,5268.0
2015-07-31,5382.0
2015-08-03,5087.0
2015-08-04,4931.0
2015-08-05,5289.0
2015-08-06,5302.0
2015-08-07,5653.0
2015-08-10,5300.0
2015-08-11,4340.0
2015-08-12,3425.0
2015-08-13,5288.0
2015-08-14,5435.0
2015-08-17,5046.0
2015-08-18,4920.0
2015-08-19,4609.0
2015-08-20,4346.0
2015-08-21,5451.0
2015-08-24,5009.0
2015-08-25,5190.0
2015-08-26,4665.0
2015-08-27,4756.0
2015-08-28,5365.0
2015-08-31,3995.0
2015-09-01,5023.0
2015-09-02,4607.0
2015-09-03,4412.0
2015-09-04,4721.0
2015-09-07,2811.0
2015-09-08,3459.0
2015-09-09,4634.0
2015-09-10,4860.0
2015-09-11,4924.0
2015-09-14,4588.0
2015-09-15,4863.0
2015-09-16,4371.0
2015-09-17,4177.0
2015-09-18,4674.0
2015-09-21,3913.0
2015-09-22,4421.0
2015-09-23,3835.0
2015-09-24,4604.0
2015-09-25,4737.0
2015-09-28,3904.0
2015-09-29,4195.0
