0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
18843437,GGHB,190704.0,2019-07-04 07:32:00,1183-Trfc Collision-Unkn Inj,Sr4 W / Bailey Rd N Ofr,Contra Costa,,,38.019101,-121.937152,4.0,13.0,,4.0,W,R20.379,20.036,,66.0
18869654,GGHB,190717.0,2019-07-17 07:18:00,1125-Traffic Hazard,I880 N / 5th Ave Ofr,Oakland,,,37.789339,-122.254281,4.0,1.0,53000.0,880.0,N,30.273,40.5,,95.0
18896196,GGHB,190729.0,2019-07-29 08:53:00,1179-Trfc Collision-1141 Enrt,SR4 W / PORT CHICAGO HWY OFR,Contra Costa,,,38.010708,-122.017546,4.0,13.0,16000.0,4.0,W,R15.75,15.413,,173.0
15484408,GGHB,150113.0,2015-01-13 08:28:00,1125-Traffic Hazard,I580 W Fruitvale Ave Onr / Fruitvale Ave,GGFSP,,,37.798666,-122.216921,4.0,1.0,53000.0,580.0,W,,57.7,,45.0
15509274,GGHB,150127.0,2015-01-27 07:17:00,1183-Trfc Collision-Unkn Inj,I580 W / I680 S I580 W Con,Hayward FSP,,,37.700288,-121.926466,4.0,1.0,57792.0,580.0,W,,37.1,,55.0
15509275,GGHB,150127.0,2015-01-27 07:14:00,1183-Trfc Collision-Unkn Inj,I580 W / I680 S I580 W Con,Dublin,,,37.700288,-121.926466,4.0,1.0,57792.0,580.0,W,,37.1,,66.0
15108796,GGHB,140703.0,2014-07-03 08:41:00,1179-Trfc Collision-1141 Enrt,I880 N / I880 N 98th Ave E Onr,Oakland,,,37.73255,-122.189129,4.0,1.0,53000.0,880.0,N,,35.0,,101.0
15108807,GGHB,140703.0,2014-07-03 08:47:00,1179-Trfc Collision-1141 Enrt,I880 N / I880 N 98th Ave E Onr,Oakland FSP,,,37.73255,-122.189129,4.0,1.0,53000.0,880.0,N,,35.0,,79.0
15149341,GGHB,140724.0,2014-07-24 08:43:00,20002-Hit and Run No Injuries,I880 N / I880 N 66th Ave Onr,Oakland FSP,,,37.757649,-122.211208,4.0,1.0,53000.0,880.0,N,,37.1,,79.0
17639847,GGHB,171206.0,2017-12-06 07:17:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Loveridge Rd Ofr,Contra Costa FSP,,,38.011887,-121.867171,4.0,13.0,57456.0,4.0,W,24.307,23.924,,46.0
17646730,GGHB,171209.0,2017-12-09 07:36:00,1183-Trfc Collision-Unkn Inj,I80 W / Carlson Blvd Ofr,Oakland,,,37.914584,-122.317505,4.0,13.0,60620.0,80.0,W,1.254,14.6,,152.0
17656965,GGHB,171214.0,2017-12-14 08:16:00,1183-Trfc Collision-Unkn Inj,I580 W / Strobridge Ave Ofr,Hayward FSP,,,37.69088,-122.084811,4.0,1.0,,580.0,W,30.306,46.2,,1352.0
17682255,GGHB,171227.0,2017-12-27 07:49:00,1183-Trfc Collision-Unkn Inj,I680 S / Sr24 W I680 N Con,Contra Costa,,,37.908558,-122.068713,4.0,13.0,83346.0,680.0,S,15.055,46.565,,96.0
17720342,GGHB,180116.0,2018-01-16 07:22:00,1183-Trfc Collision-Unkn Inj,Us101 S / Cesar Chavez St Ofr,San Francisco,,,37.752501,-122.402997,4.0,75.0,67000.0,101.0,S,3.269,431.6,,106.0
17733365,GGHB,180123.0,2018-01-23 08:19:00,1179-Trfc Collision-1141 Enrt,Sr242 S / Concord Ave Ofr,Contra Costa FSP,,,37.983275,-122.041624,4.0,13.0,16000.0,242.0,S,R1.741,2.0,,40.0
17749497,GGHB,180131.0,2018-01-31 07:59:00,1125-Traffic Hazard,I580 W / Grand Ave,Castro Valley,,,37.722247,-122.135554,4.0,1.0,68084.0,580.0,W,R34.086,50.0,,40.0
15227502,GGHB,140902.0,2014-09-02 07:42:00,1179-Trfc Collision-1141 Enrt,Sr4 W / Willow Pass Rd Oc - Concord Side,Contra Costa,,,38.014183,-121.996966,4.0,13.0,16000.0,4.0,W,,16.7,,113.0
15227558,GGHB,140902.0,2014-09-02 08:04:00,1183-Trfc Collision-Unkn Inj,Us101 S / Us101 S Cesar Chavez St Ofr,San Francisco FSP,,,37.752501,-122.402997,4.0,75.0,67000.0,101.0,S,,431.6,,68.0
15036211,GGHB,140527.0,2014-05-27 08:07:00,1183-Trfc Collision-Unkn Inj,Sr24 W / Sr24 W Acalanes Rd Ofr,Contra Costa FSP,,,37.891793,-122.151758,4.0,13.0,39122.0,24.0,W,,8.9,,43.0
17816649,GGHB,180305.0,2018-03-05 08:37:00,1125-Traffic Hazard,I80 W / Sfobb Toll Plaza Ofr,Oakland,,,37.825388,-122.304799,4.0,1.0,53000.0,80.0,W,2.49,7.8,,98.0
